File generated by Rfunction: Gera.fluxnew.yy.func1 
 TimeStamp at the begining of period
 version 1: Block average, density(WPL) corrections,and flow rotation
 yy jday hhdec(GMT) alfa(deg) beta(deg)  u(m/s) v(m/s) w(m/s)  H(W/m2) LE(W/m2) ustr(m/s)  wco2(mg/m2/s) MOL(m)
2011 186 15 154.5 8.9 0.94 0 0 302.73 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 186 15.5 102.5 7.6 0.39 0 0 303.36 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 186 16 31.5 38.9 0.71 0 0 303.74 -9999.9 -9999.9 0.28 -9999.9 -9999.9
2011 186 16.5 48.7 30.6 1.74 0 0 304.09 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 186 17 81.7 25.3 1.38 0 0 304.29 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 186 17.5 165.1 33.8 0.97 0 0 304.56 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 186 18 101.3 32.6 1.84 0 0 304.92 -9999.9 -9999.9 0.25 -9999.9 -9999.9
2011 186 18.5 236.8 7.7 1.99 0 0 305.01 -9999.9 -9999.9 0.11 -9999.9 -9999.9
2011 186 19 187.1 8.9 1.61 0 0 305.12 -9999.9 -9999.9 0.38 -9999.9 -9999.9
2011 186 19.5 144.7 16.6 2.21 0 0 305.23 -9999.9 -9999.9 0.55 -9999.9 -9999.9
2011 186 20 141.3 21.3 1.64 0 0 305.52 -9999.9 -9999.9 0.46 -9999.9 -9999.9
2011 186 20.5 166.7 10.5 1.74 0 0 305.58 -9999.9 -9999.9 0.48 -9999.9 -9999.9
2011 186 21 132.9 27.7 1.14 0 0 305.46 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 186 21.5 72.5 4.9 0.47 0 0 305.72 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 186 22 91.9 22 1.14 0 0 305.69 -9999.9 -9999.9 0.18 -9999.9 -9999.9
2011 186 22.5 108.4 13.9 0.74 0 0 305.71 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 186 23 257.7 6.7 1.25 0 0 305.48 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 186 23.5 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9
2011 187 0 108.4 9.5 1.74 0 0 304.37 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 187 0.5 167.5 5 1.5 0 0 303.75 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 187 1 211.9 3.5 2.1 0 0 303.24 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 187 1.5 182.5 1.1 2.31 0 0 302.7 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 187 2 173.8 1.3 2.14 0 0 302.12 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 187 2.5 156.6 5.5 2.04 0 0 301.72 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 187 3 113 9.7 1.82 0 0 301.54 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 187 3.5 46.2 12.3 1.59 0 0 301.64 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 187 4 40.2 12.4 1.82 0 0 301.75 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 187 4.5 42 12.9 1.9 0 0 301.5 -9999.9 -9999.9 0.11 -9999.9 -9999.9
2011 187 5 33.4 12.5 1.57 0 0 301.23 -9999.9 -9999.9 0.08 -9999.9 -9999.9
2011 187 5.5 15.5 11.5 1.23 0 0 301 -9999.9 -9999.9 0.02 -9999.9 -9999.9
2011 187 6 159.8 1 0.89 0 0 300.71 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 187 6.5 92 11 1.7 0 0 300.56 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 187 7 75.7 12.8 1.03 0 0 300.22 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 187 7.5 65.3 13.7 0.92 0 0 300.19 -9999.9 -9999.9 0.03 -9999.9 -9999.9
2011 187 8 39.4 11.1 0.98 0 0 299.64 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 187 8.5 113.2 18.1 0.27 0 0 298.99 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 187 9 50.8 11.2 1.16 0 0 299.07 -9999.9 -9999.9 0.03 -9999.9 -9999.9
2011 187 9.5 53.9 12 0.59 0 0 298.58 -9999.9 -9999.9 0.04 -9999.9 -9999.9
2011 187 10 156.3 1.6 1.01 0 0 298.63 -9999.9 -9999.9 0.08 -9999.9 -9999.9
2011 187 10.5 189.3 2.7 0.97 0 0 298.96 -9999.9 -9999.9 0.08 -9999.9 -9999.9
2011 187 11 79.5 14.4 0.64 0 0 299.1 -9999.9 -9999.9 0.05 -9999.9 -9999.9
2011 187 11.5 44.3 15.6 0.86 0 0 300.23 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 187 12 38.2 40.7 0.54 0 0 300.73 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 187 12.5 26 32.3 0.51 0 0 301.12 -9999.9 -9999.9 0.01 -9999.9 -9999.9
2011 187 13 23.5 18.6 0.92 0 0 301.34 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 187 13.5 56.6 16.4 1.2 0 0 301.44 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 187 14 48.6 14.2 1.49 0 0 301.32 -9999.9 -9999.9 0.37 -9999.9 -9999.9
2011 187 14.5 90.6 13.6 2.51 0 0 300.8 -9999.9 -9999.9 0.6 -9999.9 -9999.9
2011 187 15 108.2 13.1 2.11 0 0 300.7 -9999.9 -9999.9 0.51 -9999.9 -9999.9
2011 187 15.5 142.4 12.1 1.93 0 0 301.12 -9999.9 -9999.9 0.44 -9999.9 -9999.9
2011 187 16 133.7 18.4 1.5 0 0 301.65 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 187 16.5 83.3 24.4 1.42 0 0 302.28 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 187 17 6.4 27.9 2.03 0 0 303.1 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 187 17.5 3.8 27 1.63 0 0 303.29 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 187 18 14.4 15.1 1.12 0 0 303.59 -9999.9 -9999.9 0.39 -9999.9 -9999.9
2011 187 18.5 37.6 19.1 1.92 0 0 304.02 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 187 19 4.6 20.8 3.13 0 0 304.12 -9999.9 -9999.9 0.56 -9999.9 -9999.9
2011 187 19.5 22.5 20.5 2.66 0 0 304.23 -9999.9 -9999.9 0.43 -9999.9 -9999.9
2011 187 20 17.9 23.6 2.24 0 0 304.32 -9999.9 -9999.9 0.44 -9999.9 -9999.9
2011 187 20.5 46.7 21.3 2.26 0 0 304.33 -9999.9 -9999.9 0.18 -9999.9 -9999.9
2011 187 21 54.4 17 1.66 0 0 304.34 -9999.9 -9999.9 0.38 -9999.9 -9999.9
2011 187 21.5 7.8 21.4 1.79 0 0 304.5 -9999.9 -9999.9 0.39 -9999.9 -9999.9
2011 187 22 39.6 16.7 1.86 0 0 304.51 -9999.9 -9999.9 0.37 -9999.9 -9999.9
2011 187 22.5 39.7 20.4 1.8 0 0 304.26 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 187 23 84.9 15.8 1.84 0 0 304.16 -9999.9 -9999.9 0.25 -9999.9 -9999.9
2011 187 23.5 109 10 1.9 0 0 303.49 -9999.9 -9999.9 0.36 -9999.9 -9999.9
2011 188 0 114.6 14.7 1.99 0 0 302.78 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 188 0.5 67.3 17.8 2.01 0 0 302.23 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 188 1 55.8 17.3 1.98 0 0 301.76 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 188 1.5 58.5 16.5 1.99 0 0 301.29 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 188 2 36.5 19 2.04 0 0 300.94 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 188 2.5 24.1 17.7 1.88 0 0 300.56 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 188 3 42.1 15.7 1.96 0 0 300.11 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 188 3.5 41.4 15.2 1.85 0 0 299.75 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 188 4 28.7 17.2 1.81 0 0 299.49 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 188 4.5 10.8 15 1.7 0 0 299.1 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 188 5 2.8 13.8 1.84 0 0 299.01 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 188 5.5 6.1 13.5 1.74 0 0 298.76 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 188 6 27.7 14.9 1.75 0 0 298.63 -9999.9 -9999.9 0.18 -9999.9 -9999.9
2011 188 6.5 6.4 15.1 1.53 0 0 298.38 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 188 7 30.8 13.9 1.42 0 0 298.35 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 188 7.5 48.7 11.7 1.28 0 0 298.25 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 188 8 60.7 9.6 1.4 0 0 298.07 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 188 8.5 56.4 12.6 1.37 0 0 297.85 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 188 9 69.1 11.6 1.07 0 0 297.64 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 188 9.5 45.9 12.2 1.01 0 0 297.33 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 188 10 42.1 12 1.37 0 0 297.32 -9999.9 -9999.9 0.23 -9999.9 -9999.9
2011 188 10.5 37 12.6 1.64 0 0 297.66 -9999.9 -9999.9 0.29 -9999.9 -9999.9
2011 188 11 62.8 8.8 1.23 0 0 298.17 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 188 11.5 63.7 13.5 1.19 0 0 299.09 -9999.9 -9999.9 0.28 -9999.9 -9999.9
2011 188 12 35.3 27.9 1.19 0 0 300.17 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 188 12.5 53.1 27 1.01 0 0 301.17 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 188 13 92.4 23 1.48 0 0 302.15 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 188 13.5 127 11.7 1.06 0 0 303.11 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 188 14 170.2 10.7 1.32 0 0 303.99 -9999.9 -9999.9 0.35 -9999.9 -9999.9
2011 188 14.5 259.4 0.6 1.24 0 0 304.67 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 188 15 279 12.8 1.15 0 0 305.06 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 188 15.5 328.7 13.6 0.82 0 0 305.54 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 188 16 340.2 12.3 1.12 0 0 305.92 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 188 16.5 349.2 9.6 0.76 0 0 306.11 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 188 17 46 24.1 1.56 0 0 306.63 -9999.9 -9999.9 0.28 -9999.9 -9999.9
2011 188 17.5 79.1 13.7 1.23 0 0 306.52 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 188 18 0.1 21 1.55 0 0 307.23 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 188 18.5 124.8 23.4 0.87 0 0 307.22 -9999.9 -9999.9 0.25 -9999.9 -9999.9
2011 188 19 30.4 25.2 1.93 0 0 307.57 -9999.9 -9999.9 0.42 -9999.9 -9999.9
2011 188 19.5 28.8 33.2 1.33 0 0 307.58 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 188 20 69.5 16.5 1.95 0 0 307.46 -9999.9 -9999.9 0.43 -9999.9 -9999.9
2011 188 20.5 101.4 18.5 2.26 0 0 307.46 -9999.9 -9999.9 0.37 -9999.9 -9999.9
2011 188 21 11 15.2 1.3 0 0 307.73 -9999.9 -9999.9 0.39 -9999.9 -9999.9
2011 188 21.5 1.6 18.5 1.92 0 0 307.55 -9999.9 -9999.9 0.39 -9999.9 -9999.9
2011 188 22 34.4 15.4 1.58 0 0 307.38 -9999.9 -9999.9 0.38 -9999.9 -9999.9
2011 188 22.5 1.9 17.8 1.24 0 0 306.95 -9999.9 -9999.9 0.29 -9999.9 -9999.9
2011 188 23 311.2 6.3 3.41 0 0 303.94 -9999.9 -9999.9 0.62 -9999.9 -9999.9
2011 188 23.5 357.1 6.6 3.15 0 0 302.69 -9999.9 -9999.9 0.5 -9999.9 -9999.9
2011 189 0 345.4 5.5 3.3 0 0 301.48 -9999.9 -9999.9 0.54 -9999.9 -9999.9
2011 189 0.5 339.5 6.6 2.34 0 0 300.31 -9999.9 -9999.9 0.44 -9999.9 -9999.9
2011 189 1 357.6 9 1.23 0 0 300 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 189 1.5 312.9 11.4 0.58 0 0 299.6 -9999.9 -9999.9 0.11 -9999.9 -9999.9
2011 189 2 240.8 6.9 1.12 0 0 299.33 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 189 2.5 320.1 14.6 0.37 0 0 299.25 -9999.9 -9999.9 0.03 -9999.9 -9999.9
2011 189 3 329.4 7.6 0.61 0 0 299.28 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 189 3.5 276.1 8.1 1.5 0 0 299.42 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 189 4 288.3 9.5 1.34 0 0 299.25 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 189 4.5 353.5 12.7 1.53 0 0 299.3 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 189 5 355.2 11.7 1.73 0 0 299.3 -9999.9 -9999.9 0.29 -9999.9 -9999.9
2011 189 5.5 350.8 13.5 1.12 0 0 299.19 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 189 6 260.8 8.3 1.08 0 0 298.9 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 189 6.5 334 12.4 0.72 0 0 298.72 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 189 7 254.2 10.5 0.9 0 0 298.55 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 189 7.5 329 14.7 0.99 0 0 298.38 -9999.9 -9999.9 0.11 -9999.9 -9999.9
2011 189 8 262.6 10.4 1.56 0 0 298.25 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 189 8.5 228.5 5.3 0.93 0 0 297.87 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 189 9 250.5 8.6 0.79 0 0 297.44 -9999.9 -9999.9 0.03 -9999.9 -9999.9
2011 189 9.5 332.6 9.8 0.85 0 0 297.29 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 189 10 344.2 11.4 0.94 0 0 297.27 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 189 10.5 251.5 1.6 0.96 0 0 297.54 -9999.9 -9999.9 0.04 -9999.9 -9999.9
2011 189 11 180.1 2.4 1.24 0 0 298.13 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 189 11.5 144 12.5 0.71 0 0 299.07 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 189 12 55.8 16 1.42 0 0 300.26 -9999.9 -9999.9 0.42 -9999.9 -9999.9
2011 189 12.5 46.1 20.5 2.2 0 0 300.88 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 189 13 32 19.7 2.25 0 0 301.17 -9999.9 -9999.9 0.4 -9999.9 -9999.9
2011 189 13.5 12.7 24.7 2.22 0 0 301.6 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 189 14 33.5 27.7 2.79 0 0 302.01 -9999.9 -9999.9 0.42 -9999.9 -9999.9
2011 189 14.5 173.4 5.8 1.96 0 0 302.39 -9999.9 -9999.9 0.49 -9999.9 -9999.9
2011 189 15 66.2 19.9 1.99 0 0 302.95 98.3 65.5 0.48 -0.308 -9999.9
2011 189 15.5 58.9 19.9 2.5 0 0 302.9 61.1 158 0.46 -0.527 -145.2
2011 189 16 54.5 23.8 2.92 0 0 303.08 150.2 228.2 0.4 -1.1 -41
2011 189 16.5 63.5 15.2 2.23 0 0 303.3 117.9 190.3 0.53 -1.103 -119
2011 189 17 54.2 19.3 2.33 0 0 303.37 119.8 196.5 0.43 -0.918 -60.6
2011 189 17.5 52.7 20.8 1.94 0 0 303.76 86.6 205.3 0.38 -0.778 -57.1
2011 189 18 57.8 24.2 2.32 0 0 303.93 79.5 211.4 0.34 -0.879 -45.2
2011 189 18.5 39.2 20 2.46 0 0 304.07 15.3 129.8 0.38 -0.299 -321.4
2011 189 19 19.5 18.6 1.98 0 0 303.63 -34 142 0.36 -0.226 122.3
2011 189 19.5 197.7 10.5 2.12 0 0 301.17 -304.4 -1992.9 0.39 4.496 17.7
2011 189 20 232.6 2.1 3.23 0.05 0 300.06 -51 458.4 0.96 -4.478 1569.6
2011 189 20.5 258 1.9 3.83 0.1 0 300.31 -83.9 348.7 1.09 0.162 1428.2
2011 189 21 320 4.5 2.76 -0.01 0 299.8 2443 150.7 1.2 1.166 -9999.9
2011 189 21.5 344.1 0.1 2.27 0.04 0 298.89 2499 2377.9 1.88 -7.925 -246.8
2011 189 22 323.8 15.1 1.16 0.01 0 298.63 -22.2 163.9 0.37 -0.333 -9999.9
2011 189 22.5 268.8 5 1.3 0 0 297.74 -0.9 87 0.23 -0.096 1281.7
2011 189 23 5.8 15.2 0.66 0 0 297.73 -5.9 180 0.12 -0.923 28.6
2011 189 23.5 106 18.7 0.85 0 0 297.9 -4.6 -160.8 0.02 2.098 0.3
2011 190 0 245.6 2.7 1.35 0 0 297.76 -22.1 360.2 0.06 -4.884 1.2
2011 190 0.5 262.1 6 1.66 0 0 297.55 -18.6 -6.5 0.25 0.57 81.3
2011 190 1 215.7 2.4 2 0 0 297.37 -27.3 56.7 0.41 1.142 238.8
2011 190 1.5 215.7 0.2 2.03 0 0 297.29 -37.8 96.6 0.41 0.946 167.5
2011 190 2 241.7 3.3 1.33 0 0 297.13 -27.1 33.5 0.3 0.357 95.5
2011 190 2.5 204.7 4.8 1.42 0 0 297.21 -14.9 15.3 0.17 0.141 29.4
2011 190 3 161.4 1.7 0.71 0 0 297.1 -10.1 5.1 0.15 0.147 31.1
2011 190 3.5 121.6 7.3 0.68 0 0 296.76 -2.3 3.4 0.04 0.014 2.1
2011 190 4 112.8 3.5 0.43 0 0 296.85 0.4 1.2 0.03 0.01 -8.4
2011 190 4.5 108.6 10.7 0.97 0 0 297 -2.7 3.3 0.08 0.028 16.9
2011 190 5 247.9 2.1 0.84 0 0 296.83 -8.6 2.8 0.16 0.191 46.6
2011 190 5.5 232.4 0.1 1.01 0 0 296.74 -20.4 6.6 0.22 0.814 46.3
2011 190 6 223.7 0.2 1.25 0 0 296.96 -23.9 22 0.25 1.031 62.6
2011 190 6.5 249.5 2 0.7 0 0 296.93 -11.3 6.8 0.14 0.316 22.2
2011 190 7 213.4 2.1 0.59 0 0 296.6 1.6 -0.6 0.08 -0.191 -25.8
2011 190 7.5 98.9 10.1 0.95 0 0 296.4 -4 -1.3 0.05 0.136 3.7
2011 190 8 116.2 9.2 0.83 0 0 296.2 -7.4 -6.4 0.05 0.234 1.2
2011 190 8.5 181.7 3.6 0.73 0 0 295.91 -7.9 -4.5 0.12 0.19 22.4
2011 190 9 219.5 3.2 0.22 0 0 295.94 1.2 -0.2 0.06 -0.041 -12.2
2011 190 9.5 207.3 2.4 1.05 0 0 295.69 -5.6 -1.4 0.13 -0.047 38.9
2011 190 10 196.5 3.2 1.36 0 0 295.74 -13.7 -1.8 0.19 0.271 44.2
2011 190 10.5 198.1 7.4 0.39 0 0 295.95 0.4 4.6 0.18 0.145 -1544.2
2011 190 11 230.6 1.2 0.84 0 0 296.64 -16.1 16.2 0.19 0.943 37.1
2011 190 11.5 256.3 6.5 1.43 0 0 297.54 -0.5 157.8 0.38 1.033 9990
2011 190 12 269.5 4.6 2.43 0 0 298.51 21.4 260 0.53 0.215 -639.9
2011 190 12.5 292.1 7.5 2.79 0 0 299.19 27.7 277 0.58 -0.106 -661.5
2011 190 13 300.7 9.3 2.51 0 0 299.74 47.8 257.3 0.56 -0.235 -351.1
2011 190 13.5 299.6 6.1 2.8 0 0 300.17 50.8 265 0.48 -0.244 -208.8
2011 190 14 316.5 5.8 2.51 0 0 300.53 85.7 312.2 0.53 -0.527 -162.6
2011 190 14.5 295.2 8.3 2.15 0 0 301.18 156.6 483.5 0.64 -0.681 -151.5
2011 190 15 332.8 7.1 2.33 0 0 301.49 78.2 212.2 0.47 -0.389 -125.7
2011 190 15.5 317.7 13.5 1.94 0 0 302.05 154.5 407.6 0.58 -0.721 -115.7
2011 190 16 345.9 6.9 2.25 0 0 302.29 123.5 252.7 0.49 -0.592 -87.1
2011 190 16.5 292.7 12.6 1.82 0 0 302.84 107.1 439 0.57 -0.433 -156.4
2011 190 17 305.7 1.3 1.96 0 0 303.04 81.1 258.1 0.47 -0.43 -121.6
2011 190 17.5 261.7 2.2 1.67 0 0 303.45 96 256.8 0.41 -0.48 -66.7
2011 190 18 266.8 0.5 1.49 0 0 303.62 97.9 370.3 0.42 -0.302 -72
2011 190 18.5 275.4 7.1 1.57 0 0 303.69 88.2 285.6 0.11 -0.609 -1.6
2011 190 19 198.4 4.7 2.21 0 0 304.11 141.3 679 0.67 -0.57 -200.1
2011 190 19.5 269.7 3.5 1.21 0 0 304.19 61.8 212.2 0.24 -0.284 -19.8
2011 190 20 283.4 1.5 1.45 0 0 304.22 77.4 238.6 0.37 -0.345 -60.6
2011 190 20.5 242.8 6.2 1.62 0 0 304.25 63.8 377.5 0.6 -0.5 -319.5
2011 190 21 213.4 2.3 2.32 0 0 304.33 20.2 288.8 0.54 -0.161 -717.2
2011 190 21.5 227.2 4.8 1.68 0 0 304.36 11.5 199.7 0.39 -0.166 -462.3
2011 190 22 223.2 4.3 1.04 0 0 304.4 1.3 129.2 0.29 -0.212 -1654.1
2011 190 22.5 233.1 5.3 0.87 0 0 304.29 -2.9 49.4 0.3 -0.132 878.1
2011 190 23 323.7 17.5 0.67 0 0 304.4 -6.6 60.8 0.14 0.079 40.9
2011 190 23.5 248.4 4.9 0.48 0 0 304.07 -4.4 12.9 0.04 -0.026 1.9
2011 191 0 192 1.5 1.55 0 0 303.06 32.7 -104.1 0.09 -0.395 -2.3
2011 191 0.5 156.2 6 2.29 0 0 301.96 -14.7 0.2 0.12 0.198 12.3
2011 191 1 173.1 4.5 1.76 0 0 301.41 -6 2.3 0.07 0.113 4.4
2011 191 1.5 169.5 3.2 0.98 0 0 301.21 -4.6 -3.2 0.03 0.09 0.8
2011 191 2 176.7 8.3 0.37 0 0 301.17 -2.4 1.9 0.06 0.101 9.4
2011 191 2.5 287.2 8.4 0.48 0 0 300.66 3.1 -19.1 0.03 -0.259 -1
2011 191 3 194.5 2 0.53 0 0 300.94 0.5 4 0.07 0.056 -60.3
2011 191 3.5 131.6 8 1.08 0 0 300.69 0.3 -2 0.05 -0.026 -49.8
2011 191 4 67.3 11.9 1.53 0 0 300.42 -5.2 1.5 0.05 0.004 2.7
2011 191 4.5 120.7 7.5 1.19 0 0 300 -6.8 4.3 0.1 0.005 14.1
2011 191 5 86.4 13.4 0.37 0 0 299.24 -3.4 -7.2 0.06 -0.128 4.8
2011 191 5.5 86.2 16.9 0.41 0 0 299.19 -9.3 4.5 0.14 0.206 26.2
2011 191 6 91.9 11.4 0.7 0 0 298.35 1.7 15.4 0.12 0.431 -110.1
2011 191 6.5 234.6 2.1 0.41 0 0 298.59 -15.7 -7 0.1 -0.146 5.8
2011 191 7 276.5 7.2 0.69 0 0 297.9 1.1 -9.3 0.14 -0.407 -218.9
2011 191 7.5 299.6 4.2 0.73 0 0 297.62 -5.4 1.3 0.06 0.066 4.1
2011 191 8 341.6 9.1 0.63 0 0 298.16 0.1 -15.3 0.06 -0.433 -137.5
2011 191 8.5 273.1 10.4 0.54 0 0 297.28 9.4 -2.4 0.07 0.136 -3.1
2011 191 9 254.8 7.5 0.72 0 0 297.52 -114 78.2 0.12 3.176 1.6
2011 191 9.5 316.5 14.3 1.22 0 0 295.83 -13.6 -37.9 0.23 -1.195 83.6
2011 191 10 279.5 9.9 1.28 0 0 296.34 -19.5 5.2 0.09 0.325 3.1
2011 191 10.5 256.5 8 1.41 0 0 296.88 -9.3 20.7 0.2 0.176 86.7
2011 191 11 307 4.2 0.36 0 0 297.45 -17.2 10.4 0.11 0.229 7.8
2011 191 11.5 236.8 4.7 0.47 0 0 298.39 4.9 21.3 0.08 0.212 -10.8
2011 191 12 323.9 9.1 0.49 0 0 299.5 22.8 81.9 0.17 0.547 -19.2
2011 191 12.5 254.5 6.3 1.43 0 0 300.23 30.6 196.4 0.33 0.342 -107
2011 191 13 214.2 2.4 1.33 0 0 300.77 36.1 148.2 0.19 0.249 -17.8
2011 191 13.5 219 6.5 1.07 0 0 301.46 117.2 239.3 0.19 -0.46 -5.8
2011 191 14 126.1 16.6 0.92 0 0 302.13 47.2 138.9 0.16 -0.053 -7.8
2011 191 14.5 95.8 15.4 1.42 0 0 302.81 91 292.1 0.3 -0.327 -28.3
2011 191 15 13.4 12.9 0.78 0 0 303.35 59.6 343.4 0.36 -0.23 -74
2011 191 15.5 12.1 28.8 0.81 0 0 303.63 108.8 385.5 0.21 -0.547 -7.7
2011 191 16 73.9 25.3 1.23 0 0 304.12 99.5 232.2 0.22 -0.548 -9.3
2011 191 16.5 14.4 12.8 1.18 0 0 304.67 156.4 587.2 0.4 -0.328 -36.8
2011 191 17 35.7 21.6 1.86 0 0 304.22 24.2 231 0.24 -0.376 -49.6
2011 191 17.5 46.4 15.9 1.34 0 0 304.19 1.1 330.3 0.18 -0.599 -478.5
2011 191 18 108.7 13.2 1.69 0 0 304.49 88.1 486.1 0.35 -0.983 -43.8
2011 191 18.5 46.9 17.1 1.85 0 0 304.83 60.6 263.9 0.5 -0.114 -190.6
2011 191 19 21.2 17.8 2.69 0 0 304.99 133 467.6 0.64 -0.958 -186
2011 191 19.5 30.8 20.1 2.23 0 0 305.01 65 408.8 0.41 -0.558 -100.2
2011 191 20 7.4 23.9 2.53 0 0 305.12 52.8 332.6 0.41 -0.407 -123.1
2011 191 20.5 53.2 18.2 1.81 0 0 305.28 47.9 315.8 0.3 -0.495 -53.6
2011 191 21 6.2 21.3 1.92 0 0 305.42 -0.1 278.4 0.26 0.126 9990
2011 191 21.5 20.9 14.3 1.38 0 0 305.48 2.6 208.9 0.36 -0.088 -1626.7
2011 191 22 46.3 16.1 1.33 0 0 305.45 -20.4 254.2 0.33 0.419 157.8
2011 191 22.5 6.6 17.3 1.73 0 0 305.25 -32.4 181.2 0.38 0.502 152.6
2011 191 23 60.4 18.4 1.76 0 0 304.87 -30.8 115.8 0.33 0.115 112.3
2011 191 23.5 80 16.9 2.04 0 0 304.46 -17.5 38.2 0.21 0.058 51.9
2011 192 0 73.6 17 1.98 0 0 304.02 -22.5 16 0.22 0.081 42.7
2011 192 0.5 101.8 11.7 1.9 0 0 303.36 -14.3 5.2 0.15 0.094 20.1
2011 192 1 101.8 10.9 1.99 0 0 302.76 -15.2 2.1 0.15 0.133 22.3
2011 192 1.5 64.2 14.5 2.02 0 0 302.55 -8.3 -11.3 0.14 -0.015 34.4
