date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2024-01-02 17:56:33,32239,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0102t173458-o32239_v01-2024m0105t105440.nc, 3289, 382, 0.33, 0.74, 0.04, 50, 0.70, 0.13, 58,0.80,0.06
2024-01-03 17:37:32,32253,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0103t171558-o32253_v01-2024m0105t185015.nc, 3295, 306, 0.49, 0.90, 0.03, 62, 0.84, 0.16, 48,0.95,0.06
2024-01-05 16:59:34,32281,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0105t163759-o32281_v01-2024m0108t134220.nc, 3330, 106, 0.17, 0.93, 0.03, 62, 0.88, 0.16, 56,1.06,0.05
2024-01-08 17:44:04,32324,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0108t172231-o32324_v01-2024m0111t114044.nc, 3279, 335, 0.33, 1.27, 0.20, 97, 1.03, 0.27, 35,0.85,0.10
2024-01-11 16:47:07,32366,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0111t162533-o32366_v01-2024m0112t171349.nc, 3334,  64, 0.32, 1.17, 0.02, 51, 1.17, 0.17, 60,0.89,0.06
2024-01-12 16:28:08,32380,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0112t160634-o32380_v01-2024m0113t231103.nc, 3367,  25, 1.14, 0.90, 0.24, 70, 0.70, 0.21, 14,0.91,0.05
2024-01-12 18:09:38,32381,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0112t174804-o32381_v01-2024m0113t230939.nc, 3262, 414, 1.27, 0.91, 0.08, 51, 0.91, 0.19,  5,1.10,0.05
2024-01-17 16:34:45,32451,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0117t161311-o32451_v01-2024m0120t132051.nc, 3334,  36, 0.06, 2.02, 0.29,132, 1.64, 0.34, 45,1.13,0.04
2024-01-17 18:16:15,32452,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0117t175441-o32452_v01-2024m0120t151526.nc, 3242, 425, 0.06, 1.53, 0.16,116, 1.17, 0.25, 59,1.23,0.04
2024-01-21 17:00:23,32508,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0121t163848-o32508_v01-2024m0124t134432.nc, 3271, 106, 0.34, 1.01, 0.07, 78, 0.97, 0.19, 60,0.80,0.07
2024-01-22 16:41:23,32522,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0122t161950-o32522_v01-2024m0124t235759.nc, 3300,  48, 0.24, 0.58, 0.03, 62, 0.54, 0.12, 60,0.97,0.04
2024-01-22 18:22:54,32523,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0122t180120-o32523_v01-2024m0125t001732.nc, 3220, 440, 0.11, 0.99, 0.06, 80, 0.74, 0.15, 60,1.14,0.05
2024-01-23 18:03:56,32537,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0123t174222-o32537_v01-2024m0126t144545.nc, 3213, 399, 0.75, 1.42, 0.10, 56, 1.39, 0.25,  8,1.64,0.10
2024-01-26 17:07:02,32579,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0126t164528-o32579_v01-2024m0129t134354.nc, 3237, 133,-0.32, 0.81, 0.23, 68, 0.72, 0.30, 15,1.05,0.06
2024-02-01 16:54:47,32664,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0201t163313-o32664_v01-2024m0204t133214.nc, 3223,  83, 0.10, 0.81, 0.02, 61, 0.79, 0.11, 37,0.81,0.07
2024-02-03 17:58:23,32693,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0203t173649-o32693_v01-2024m0206t143736.nc, 3152, 382, 0.58, 0.90, 0.05, 62, 0.84, 0.17, 50,0.84,0.04
2024-02-04 17:39:26,32707,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0204t171752-o32707_v01-2024m0207t141616.nc, 3152, 305, 0.99, 0.85, 0.03, 51, 0.83, 0.17, 50,0.96,0.05
2024-02-05 17:20:29,32721,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0205t165855-o32721_v01-2024m0207t164439.nc, 3162, 199, 0.29, 1.02, 0.16,111, 0.80, 0.29, 60,0.92,0.06
2024-02-06 17:01:32,32735,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0206t163958-o32735_v01-2024m0207t220246.nc, 3180, 105, 0.48, 0.89, 0.15, 87, 0.78, 0.25, 35,1.08,0.05
2024-02-07 16:42:35,32749,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0207t162101-o32749_v01-2024m0209t130450.nc, 3205,  48, 0.42, 0.63, 0.02, 40, 0.62, 0.12, 51,0.94,0.07
2024-02-07 18:24:06,32750,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0207t180231-o32750_v01-2024m0209t132614.nc, 3126, 439, 0.63, 0.95, 0.05, 72, 0.88, 0.15, 55,1.02,0.08
2024-02-08 16:23:38,32763,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0208t160204-o32763_v01-2024m0209t160604.nc, 3237,  11, 0.37, 0.79, 0.05, 71, 0.69, 0.15, 29,1.23,0.06
2024-02-09 17:46:12,32778,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0209t172437-o32778_v01-2024m0212t005642.nc, 3116, 335, 0.51, 1.09, 0.02, 84, 1.07, 0.15, 60,1.03,0.09
2024-02-14 17:52:58,32849,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0214t173123-o32849_v01-2024m0215t170959.nc, 3078, 360, 0.62, 1.36, 0.09, 84, 1.27, 0.41, 33,1.05,0.10
2024-02-16 17:15:05,32877,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0216t165330-o32877_v01-2024m0217t165436.nc, 3092, 163, 0.10, 2.00, 0.07, 84, 1.91, 0.31, 31,1.54,0.12
2024-02-18 16:37:11,32905,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0218t161537-o32905_v01-2024m0221t044139.nc, 3140,  35, 0.29, 1.39, 0.08, 89, 1.30, 0.27, 60,1.23,0.04
2024-02-18 18:18:42,32906,TROPOMI-Sentinel-5P_L2-TROPOMAER_2024m0218t175707-o32906_v01-2024m0221t050155.nc, 3046, 425, 0.96, 1.34, 0.07, 81, 1.28, 0.24, 36,1.22,0.05
