Orbit,AOCH532,TAU532
 34807,  1.56,  0.10
 34821,  1.47,  0.16
 34835,  1.58,  0.14
 34849,  1.43,  0.32
 34863,  1.46,  0.20
 34877,  1.66,  0.15
 34878,  1.72,  0.16
 34892,  1.66,  0.17
 34906,  1.75,  0.22
 34920,  1.40,  0.36
 34934,  1.46,  0.14
 34948,  1.62,  0.09
 34949,  1.68,  0.10
 34963,  1.00,  0.45
 34977,  1.46,  0.19
 34991,  1.57,  0.30
 35005,  1.59,  0.20
 35019,  1.73,  0.29
 35020,  1.76,  0.31
 35033,  1.92,  0.26
 35034,  2.02,  0.30
 35048,  1.74,  0.23
 35062,  1.59,  0.34
 35076,  1.88,  0.21
 35090,  1.67,  0.27
 35104,  1.82,  0.26
 35105,  1.73,  0.26
 35119,  1.83,  0.23
 35133,  1.86,  0.28
 35147,  1.47,  0.47
 35161,  2.24,  0.38
 35175,  1.71,  0.16
 35176,  1.73,  0.17
 35190,  1.65,  0.25
 35204,  1.73,  0.40
 35218,  1.59,  0.25
 35232,  1.77,  0.46
 35246,  1.59,  0.38
 35247,  1.61,  0.36
 35260,  2.14,  0.16
 35261,  2.03,  0.17
 35275,  1.54,  0.23
 35289,  1.69,  0.26
 35303,  1.79,  0.35
 35317,  1.80,  0.51
 35331,  1.65,  0.22
 35332,  1.69,  0.22
 35346,  1.67,  0.14
 35360,  0.99,  0.30
 35374,  1.57,  0.42
 35388,  1.66,  0.23
 35402,  1.67,  0.14
 35403,  1.58,  0.15
 35417,  1.97,  0.13
 35431,  1.26,  0.50
 35445,  1.27,  0.34
 35459,  1.33,  0.29
 35473,  1.25,  0.74
 35474,  1.21,  0.92
 35487,  1.40,  0.27
 35488,  1.49,  0.28
 35502,  1.54,  0.16
 35516,  1.50,  0.16
 35530,  1.55,  0.13
 35544,  1.64,  0.12
 35558,  1.45,  0.12
 35559,  1.44,  0.12
 35573,  1.46,  0.30
 35587,  1.60,  0.28
 35601,  1.57,  0.35
 35615,  1.59,  0.18
 35629,  1.33,  0.37
 35630,  1.36,  0.31
 35644,  1.32,  0.44
 35658,  1.41,  0.24
 35672,  1.83,  0.42
 35686,  1.62,  0.20
 35700,  1.70,  0.10
 35701,  1.73,  0.07
 35714,  1.50,  0.09
 35715,  1.52,  0.09
