date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2023-01-01 17:19:54,27046,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0101t165819-o27046_v01-2023m0104t140506.nc, 3312, 203, 0.56, 1.39, 0.08, 84, 1.33, 0.50, 49,0.94,0.05
2023-01-09 16:29:30,27159,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0109t160756-o27159_v01-2023m0110t160652.nc, 3375,  26, 0.47, 1.00, 0.06, 95, 0.87, 0.29, 60,0.88,0.06
2023-01-09 18:11:01,27160,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0109t174927-o27160_v01-2023m0110t160435.nc, 3270, 415, 0.65, 1.19, 0.21,112, 0.76, 0.21, 60,0.91,0.05
2023-01-11 17:33:04,27188,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0111t171130-o27188_v01-2023m0112t181947.nc, 3275, 276, 0.32, 0.76, 0.04, 38, 0.76, 0.08,  4,1.22,0.12
2023-01-12 17:14:05,27202,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0112t165231-o27202_v01-2023m0113t160703.nc, 3290, 168,-0.11, 0.76, 0.02, 38, 0.76, 0.05,  5,1.13,0.31
2023-01-13 16:55:07,27216,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0113t163333-o27216_v01-2023m0114t223217.nc, 3314,  85, 0.65, 1.26, 0.25, 80, 0.89, 0.39, 43,0.97,0.11
2023-01-15 16:17:11,27244,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0115t155537-o27244_v01-2023m0117t002656.nc, 3378,   0, 0.66, 0.60, 0.03, 16, 0.59, 0.11, 13,0.90,0.04
2023-01-15 17:58:41,27245,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0115t173707-o27245_v01-2023m0117t002013.nc, 3249, 384, 0.54, 0.77, 0.10, 61, 0.67, 0.22, 50,0.98,0.04
2023-01-18 17:01:48,27287,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0118t164013-o27287_v01-2023m0121t135834.nc, 3283, 109,-0.05, 0.67, 0.07, 17, 0.67, 0.07,  1,0.87,0.11
2023-01-24 16:49:31,27372,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0124t162758-o27372_v01-2023m0125t151729.nc, 3276,  66, 0.33, 1.02, 0.16, 76, 1.02, 0.38,  6,0.89,0.05
2023-01-28 17:15:13,27429,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0128t165339-o27429_v01-2023m0129t155420.nc, 3216, 168,-0.28, 0.74, 0.05, 27, 0.74, 0.12,  5,1.40,0.06
2023-01-30 18:18:49,27458,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0130t175715-o27458_v01-2023m0131t214859.nc, 3175, 426, 0.33, 1.96, 0.21,137, 1.71, 0.61, 19,1.04,0.09
2023-02-01 17:40:57,27486,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0201t171922-o27486_v01-2023m0203t104819.nc, 3168, 309, 0.09, 1.09, 0.14, 60, 1.09, 0.14,  1,1.18,0.06
2023-02-03 17:03:02,27514,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0203t164129-o27514_v01-2023m0204t165933.nc, 3198, 108, 0.33, 1.36, 0.07, 95, 1.29, 0.33, 37,1.20,0.06
2023-02-04 16:44:06,27528,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0204t162232-o27528_v01-2023m0205t142836.nc, 3223,  50, 0.26, 1.63, 0.28,116, 1.21, 0.24, 39,1.87,0.05
2023-02-04 18:25:37,27529,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0204t180402-o27529_v01-2023m0205t144720.nc, 3144, 441, 0.52, 1.38, 0.05, 94, 1.27, 0.23, 55,2.09,0.06
2023-02-10 16:31:59,27613,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0210t161024-o27613_v01-2023m0211t170938.nc, 3207,  26, 0.55, 1.85, 0.16, 84, 1.84, 0.52, 12,1.08,0.08
2023-02-11 17:54:34,27628,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0211t173258-o27628_v01-2023m0212t175533.nc, 3096, 362, 0.92, 1.10, 0.08, 61, 1.10, 0.23,  9,1.40,0.05
2023-02-13 17:16:41,27656,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0213t165506-o27656_v01-2023m0214t145845.nc, 3111, 167,-0.36, 1.43, 0.06, 73, 1.42, 0.30, 26,1.97,0.05
2023-02-14 16:57:45,27670,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0214t163610-o27670_v01-2023m0215t182102.nc, 3131,  84, 0.46, 1.03, 0.05, 80, 0.97, 0.21, 37,1.73,0.06
2023-02-15 16:38:48,27684,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0215t161714-o27684_v01-2023m0216t160055.nc, 3159,  36, 0.40, 1.45, 0.06, 94, 1.38, 0.24, 43,1.26,0.09
2023-02-15 18:20:19,27685,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0215t175844-o27685_v01-2023m0216t155212.nc, 3066, 426, 0.86, 1.25, 0.12, 94, 1.23, 0.35, 10,1.18,0.09
2023-02-18 17:23:31,27727,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0218t170156-o27727_v01-2023m0219t161426.nc, 3066, 201, 0.38, 2.64, 0.33,143, 2.40, 0.85, 10,1.47,0.06
2023-02-21 16:26:43,27769,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0221t160508-o27769_v01-2023m0222t161144.nc, 3138,  12, 0.21, 1.97, 0.21,127, 1.63, 0.37, 27,1.12,0.13
2023-02-23 17:30:22,27798,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0223t170847-o27798_v01-2023m0224t202956.nc, 3021, 237, 0.74, 1.14, 0.06, 93, 1.01, 0.27, 56,1.13,0.07
2023-02-24 17:11:26,27812,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0224t164951-o27812_v01-2023m0227t135931.nc, 3035, 134, 0.60, 1.80, 0.09,111, 1.65, 0.34, 55,1.03,0.08
2023-02-26 18:15:05,27841,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0226t175330-o27841_v01-2023m0228t170047.nc, 2980, 414, 0.59, 1.72, 0.12,128, 1.50, 0.43, 31,1.02,0.10
2023-03-04 18:03:00,27926,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0304t174126-o27926_v01-2023m0306t181602.nc, 2931, 382,-0.06, 2.31, 0.15,105, 2.26, 0.50, 16,0.97,0.12
2023-03-05 17:44:05,27940,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0305t172230-o27940_v01-2023m0307t030802.nc, 2930, 306, 0.33, 2.21, 0.13,110, 2.17, 0.38, 17,1.45,0.17
2023-03-06 17:25:08,27954,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0306t170335-o27954_v01-2023m0307t145207.nc, 2939, 199, 0.05, 2.32, 0.11,127, 2.14, 0.41, 60,1.29,0.12
2023-03-07 17:06:13,27968,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0307t164439-o27968_v01-2023m0308t141301.nc, 2954, 106,-0.73, 1.91, 0.16,116, 1.80, 0.50, 18,1.55,0.08
2023-03-08 16:47:17,27982,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0308t162543-o27982_v01-2023m0311t133248.nc, 2979,  48,-0.43, 1.47, 0.26, 98, 1.24, 0.35, 32,1.50,0.06
2023-03-08 18:28:47,27983,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0308t180713-o27983_v01-2023m0311t151111.nc, 2899, 439, 0.02, 1.65, 0.36,112, 1.10, 0.32, 39,1.53,0.07
