date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2018-04-30 17:36:27,2828,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m0430t171451-o02828_v01-2021m0802t120858.nc, 1934, 240, 0.01, 3.16, 0.10,139, 3.09, 0.75, 60,2.18,0.11
2018-07-01 18:16:04,3708,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m0701t175428-o03708_v01-2021m0919t222544.nc, 1799, 399, 0.08, 0.99, 0.11, 49, 0.98, 0.15,  2,2.13,0.17
2018-07-07 18:03:15,3793,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m0707t174140-o03793_v01-2021m0920t051255.nc, 1811, 360,-0.02, 1.06, 0.10, 56, 1.02, 0.29, 15,1.67,0.10
2018-07-08 17:44:13,3807,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m0708t172237-o03807_v01-2021m0920t061556.nc, 1820, 271,-0.24, 1.06, 0.27, 48, 1.05, 0.37,  2,1.35,0.08
2018-10-17 17:42:10,5240,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1017t172036-o05240_v01-2021m0925t141801.nc, 2327, 307, 0.06, 1.54, 0.11, 88, 1.46, 0.35, 29,1.12,0.07
2018-10-18 17:23:02,5254,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1018t170127-o05254_v01-2021m0925t160150.nc, 2345, 201,-0.17, 1.49, 0.34, 90, 1.30, 0.41, 44,1.31,0.06
2018-10-20 16:44:45,5282,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1020t162310-o05282_v01-2021m0925t172957.nc, 2402,  49,-0.48, 1.64, 0.19, 72, 1.39, 0.24, 47,0.91,0.11
2018-10-22 17:47:57,5311,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1022t172623-o05311_v01-2021m0926t162823.nc, 2356, 337, 0.23, 1.71, 0.10, 79, 1.68, 0.34, 60,1.87,0.07
2018-10-25 16:50:33,5353,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1025t162858-o05353_v01-2021m0926t183609.nc, 2424,  65, 0.34, 1.65, 0.15,104, 1.54, 0.53, 23,1.09,0.08
2018-11-04 17:02:14,5495,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1104t164039-o05495_v01-2021m0927t035507.nc, 2464, 108, 0.42, 1.36, 0.29, 82, 1.20, 0.36, 14,0.88,0.06
2018-11-08 17:27:14,5552,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1108t170539-o05552_v01-2021m0927t072754.nc, 2461, 239, 0.74, 1.84, 0.08, 72, 1.84, 0.47, 37,1.47,0.08
2018-11-10 16:48:59,5580,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1110t162724-o05580_v01-2021m0927t090525.nc, 2512,  65, 0.72, 0.92, 0.03, 28, 0.89, 0.09,  9,1.61,0.06
2018-11-11 16:29:52,5594,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1111t160817-o05594_v01-2021m0927t110220.nc, 2545,  26, 0.71, 1.75, 0.09, 92, 1.72, 0.40, 60,1.31,0.09
2018-11-11 18:11:21,5595,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1111t174947-o05595_v01-2021m0927t100723.nc, 2464, 414, 0.86, 1.40, 0.07, 83, 1.31, 0.31, 51,1.41,0.09
2018-11-12 17:52:15,5609,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1112t173040-o05609_v01-2021m0927t105805.nc, 2470, 363, 0.82, 1.29, 0.08, 51, 1.29, 0.24, 10,1.50,0.09
2018-11-16 16:35:48,5665,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1116t161413-o05665_v01-2021m0927t143958.nc, 2558,  37, 0.68, 1.18, 0.14, 69, 0.65, 0.08, 30,0.63,0.09
2018-11-16 18:17:18,5666,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1116t175543-o05666_v01-2021m0927t143710.nc, 2488, 426, 1.28, 0.82, 0.02, 44, 0.77, 0.08, 25,0.70,0.09
2018-11-17 17:58:10,5680,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1117t173637-o05680_v01-2021m0927t153218.nc, 2493, 384, 0.85, 1.52, 0.26,108, 1.25, 0.30, 57,1.03,0.10
2018-11-21 16:41:46,5736,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1121t162012-o05736_v01-2021m0927t183728.nc, 2570,  50, 0.73, 1.61, 0.13,117, 1.41, 0.52, 59,0.90,0.08
2018-11-21 18:23:15,5737,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1121t180142-o05737_v01-2021m0927t183841.nc, 2510, 441, 0.89, 1.81, 0.17,116, 1.54, 0.66, 53,1.00,0.08
2018-11-25 17:06:54,5793,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1125t164519-o05793_v01-2021m0927t204434.nc, 2551, 136, 0.93, 0.74, 0.04, 27, 0.74, 0.09,  5,0.70,0.08
2018-11-29 17:32:02,5850,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1129t171028-o05850_v01-2021m0928t022203.nc, 2544, 276, 0.93, 1.91, 0.12, 44, 1.71, 0.35, 16,0.92,0.06
2018-12-07 16:40:57,5963,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1207t161922-o05963_v01-2021m0930t113829.nc, 2615,  50, 0.56, 1.40, 0.13, 93, 1.34, 0.56, 30,1.11,0.05
2018-12-07 18:22:27,5964,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1207t180052-o05964_v01-2021m0929t222202.nc, 2555, 441, 1.00, 1.48, 0.15, 92, 1.43, 0.48, 15,1.19,0.06
2018-12-08 18:03:23,5978,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1208t174148-o05978_v01-2021m0929t225603.nc, 2556, 401, 1.33, 0.94, 0.08, 86, 0.88, 0.26, 21,0.95,0.11
2018-12-11 17:06:12,6020,TROPOMI-Sentinel-5P_L2-TROPOMAER_2018m1211t164438-o06020_v01-2021m1003t211435.nc, 2589, 136, 0.83, 0.94, 0.05, 95, 0.86, 0.30, 60,0.84,0.06
