date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2020-01-01 18:09:20,11497,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0101t174746-o11497_v01-2021m1024t174612.nc, 3291, 415, 1.47, 1.76, 0.56, 72, 1.35, 0.27, 14,1.03,0.06
2020-01-06 16:34:20,11567,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0106t161246-o11567_v01-2021m1025t033948.nc, 3372,  37, 0.89, 1.40, 0.75,102, 1.07, 0.30, 14,1.17,0.06
2020-01-06 18:15:50,11568,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0106t175417-o11568_v01-2021m1025t041542.nc, 3281, 426, 1.28, 1.37, 0.23,104, 1.19, 0.38, 12,1.42,0.06
2020-01-08 17:37:52,11596,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0108t171618-o11596_v01-2021m1025t070339.nc, 3281, 310, 0.86, 1.56, 0.34, 84, 1.29, 0.39,  8,1.22,0.07
2020-01-09 17:18:52,11610,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0109t165718-o11610_v01-2021m1025t084856.nc, 3294, 204,-0.17, 0.92, 0.08, 60, 0.87, 0.19, 36,1.34,0.06
2020-01-12 16:21:56,11652,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0112t160021-o11652_v01-2021m1025t142937.nc, 3378,  14, 1.33, 2.33, 0.42, 93, 2.22, 0.71,  4,1.06,0.07
2020-01-13 17:44:27,11667,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0113t172253-o11667_v01-2021m1025t164831.nc, 3262, 339, 0.83, 0.83, 0.06, 49, 0.83, 0.15,  7,1.05,0.12
2020-01-15 17:06:30,11695,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0115t164455-o11695_v01-2021m1025t201231.nc, 3288, 137, 0.91, 1.89, 0.20,134, 1.51, 0.60, 59,1.06,0.07
2020-01-16 16:47:32,11709,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0116t162557-o11709_v01-2021m1025t222407.nc, 3313,  66, 0.76, 1.70, 0.35,121, 1.38, 0.40, 43,0.99,0.07
2020-01-17 16:28:33,11723,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0117t160658-o11723_v01-2021m1026t001405.nc, 3345,  26, 0.53, 1.40, 0.11,104, 1.33, 0.39, 25,1.12,0.05
2020-01-17 18:10:02,11724,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0117t174829-o11724_v01-2021m1026t001331.nc, 3242, 415, 1.21, 1.10, 0.14,100, 0.94, 0.24, 54,1.25,0.05
2020-01-20 17:13:09,11766,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0120t165134-o11766_v01-2021m1026t062440.nc, 3258, 169, 0.69, 1.15, 0.04, 64, 1.15, 0.29, 57,1.39,0.05
2020-01-21 16:54:11,11780,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0121t163236-o11780_v01-2021m1026t065432.nc, 3281,  86, 0.78, 1.70, 0.35,118, 1.22, 0.36, 31,1.27,0.05
2020-01-22 16:35:12,11794,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0122t161338-o11794_v01-2021m1026t090744.nc, 3311,  37, 0.85, 1.50, 0.17,123, 1.28, 0.53, 54,1.08,0.06
2020-01-22 18:16:43,11795,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0122t175509-o11795_v01-2021m1026t073209.nc, 3219, 426, 1.22, 1.44, 0.25,132, 1.21, 0.41, 60,1.15,0.06
2020-02-03 17:52:18,11965,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0203t173043-o11965_v01-2021m1027t042707.nc, 3153, 364, 0.98, 1.01, 0.07, 61, 0.97, 0.26, 20,1.64,0.07
2020-02-07 16:36:32,12021,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0207t161457-o12021_v01-2021m1027t112033.nc, 3216,  37, 1.05, 0.56, 0.17, 13, 0.56, 0.17,  1,1.15,0.12
2020-02-09 17:40:10,12050,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0209t171835-o12050_v01-2021m1027t175528.nc, 3119, 310, 1.01, 1.62, 0.21,125, 1.19, 0.42, 53,1.15,0.12
2020-02-14 17:47:00,12121,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0214t172526-o12121_v01-2021m1028t133030.nc, 3081, 339, 1.08, 1.86, 1.17,118, 1.02, 0.40,  8,1.25,0.06
2020-02-15 17:28:04,12135,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0215t170630-o12135_v01-2021m1028t175831.nc, 3086, 241, 0.47, 1.10, 0.19, 81, 0.96, 0.16, 20,1.29,0.04
2020-02-21 17:16:01,12220,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0221t165427-o12220_v01-2021m1029t171213.nc, 3053, 169, 0.85, 1.26, 0.18, 95, 1.07, 0.32, 60,1.55,0.07
2020-02-22 16:57:06,12234,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0222t163531-o12234_v01-2021m1029t204452.nc, 3073,  86, 0.78, 1.72, 0.31,101, 1.52, 0.44, 59,1.77,0.08
2020-02-23 16:38:11,12248,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0223t161636-o12248_v01-2021m1030t030157.nc, 3099,  37, 0.98, 1.89, 0.22,128, 1.60, 0.69, 51,1.52,0.07
2020-02-23 18:19:41,12249,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0223t175806-o12249_v01-2021m1030t021208.nc, 3009, 427, 1.34, 1.95, 0.16,127, 1.63, 0.64, 59,1.56,0.07
2020-03-01 17:48:45,12348,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0301t172710-o12348_v01-2021m1030t193257.nc, 2955, 339, 0.47, 1.34, 0.12, 95, 1.23, 0.32, 60,1.61,0.08
2020-03-02 17:29:50,12362,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0302t170815-o12362_v01-2021m1031t062519.nc, 2959, 241,-0.11, 1.62, 0.08, 95, 1.54, 0.20, 31,1.43,0.14
2020-03-04 16:52:00,12390,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0304t163025-o12390_v01-2021m1031t051307.nc, 2994,  66, 0.01, 1.16, 0.14, 86, 1.08, 0.48, 40,1.82,0.07
2020-03-07 17:36:46,12433,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0307t171511-o12433_v01-2021m1031t222720.nc, 2912, 277,-0.10, 1.36, 0.04, 62, 1.35, 0.32, 58,1.74,0.06
2020-03-08 17:17:50,12447,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0308t165616-o12447_v01-2021m1031t172904.nc, 2923, 170, 0.51, 2.30, 0.29,126, 1.92, 0.64, 58,1.22,0.12
2020-03-09 16:58:55,12461,TROPOMI-Sentinel-5P_L2-TROPOMAER_2020m0309t163721-o12461_v01-2021m1101t060819.nc, 2941,  86,-0.29, 1.73, 0.16,118, 1.49, 0.72, 44,1.41,0.08
