date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2022-02-27 16:58:03,22676,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0227t163628-o22676_v01-2022m0628t103113.nc, 3029,  85, 0.94, 1.60, 0.20,125, 1.30, 0.28, 59,1.42,0.08
2022-02-28 16:39:07,22690,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0228t161733-o22690_v01-2022m0628t192656.nc, 3056,  37, 0.83, 1.16, 0.13,112, 0.98, 0.30, 60,1.24,0.09
2022-02-28 18:20:38,22691,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0228t175903-o22691_v01-2022m0628t193542.nc, 2964, 426, 1.38, 1.36, 0.13,127, 1.13, 0.37, 60,1.28,0.09
2022-03-03 17:23:53,22733,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0303t170218-o22733_v01-2022m0629t035337.nc, 2961, 203,-0.34, 0.86, 0.03, 51, 0.84, 0.14, 27,1.34,0.09
2022-03-04 17:04:58,22747,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0304t164323-o22747_v01-2022m0629t053754.nc, 2977, 108,-0.22, 0.97, 0.07, 87, 0.88, 0.18, 60,1.37,0.07
2022-03-05 16:46:03,22761,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0305t162428-o22761_v01-2022m0629t072617.nc, 3001,  50, 0.04, 2.09, 0.07,117, 1.91, 0.31, 32,1.66,0.25
2022-03-05 18:27:33,22762,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0305t180559-o22762_v01-2022m0629t072630.nc, 2923, 441, 1.10, 1.64, 0.05, 51, 1.47, 0.17, 14,1.55,0.24
2022-03-08 17:30:47,22804,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0308t170914-o22804_v01-2022m0629t165133.nc, 2914, 240,-0.25, 1.00, 0.07, 73, 0.94, 0.13, 26,1.90,0.09
2022-03-11 16:34:04,22846,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0311t161229-o22846_v01-2022m0629t215032.nc, 2975,  26, 0.93, 1.54, 0.07,124, 1.39, 0.32, 60,0.97,0.17
2022-03-11 18:15:34,22847,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0311t175359-o22847_v01-2022m0629t220002.nc, 2871, 415, 1.38, 1.44, 0.04, 95, 1.41, 0.24, 60,1.05,0.18
2022-03-14 17:18:48,22889,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0314t165715-o22889_v01-2022m0630t062801.nc, 2876, 168,-0.46, 1.36, 0.14,124, 1.14, 0.50, 60,1.52,0.12
2022-03-15 16:59:54,22903,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0315t163820-o22903_v01-2022m0630t084426.nc, 2894,  85,-0.21, 1.38, 0.17,105, 1.22, 0.41, 60,1.64,0.13
2022-03-16 16:40:59,22917,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0316t161925-o22917_v01-2022m0705t141551.nc, 2920,  37, 0.87, 1.30, 0.12,117, 1.14, 0.29, 60,1.49,0.13
2022-03-16 18:22:29,22918,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0316t180055-o22918_v01-2022m0705t144105.nc, 2828, 426, 1.20, 1.35, 0.06, 91, 1.29, 0.19, 51,1.51,0.13
2022-03-21 16:47:55,22988,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0321t162621-o22988_v01-2022m0630t224759.nc, 2865,  50, 0.74, 2.49, 0.23,112, 2.43, 0.45,  7,2.15,0.15
2022-03-29 17:39:35,23102,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0329t171801-o23102_v01-2022m0701t153101.nc, 2728, 276, 0.86, 1.41, 0.28,107, 1.26, 0.56, 22,2.05,0.09
2022-04-02 18:05:26,23159,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0402t174351-o23159_v01-2022m0702t000648.nc, 2682, 384, 0.80, 2.08, 0.23,133, 1.54, 0.50, 60,2.43,0.12
2022-04-15 17:22:23,23343,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0415t170048-o23343_v01-2022m0703t005339.nc, 2606, 167, 0.21, 2.53, 0.11,117, 2.50, 0.55, 30,2.58,0.16
2022-04-16 17:03:27,23357,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0416t164152-o23357_v01-2022m0703t033031.nc, 2626,  85, 0.11, 1.81, 0.10,117, 1.76, 0.50, 26,1.85,0.22
2022-04-17 18:26:01,23372,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0417t180426-o23372_v01-2022m0703t043828.nc, 2562, 426, 0.91, 1.86, 0.16,106, 1.34, 0.36, 47,2.38,0.17
2022-04-20 17:29:12,23414,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0420t170738-o23414_v01-2022m0703t073318.nc, 2562, 202, 0.21, 2.32, 0.08,115, 2.21, 0.45, 60,2.24,0.16
2022-04-21 17:10:16,23428,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0421t164841-o23428_v01-2022m0703t105826.nc, 2579, 108, 0.10, 0.64, 0.07, 27, 0.64, 0.07,  1,2.00,0.28
2022-04-22 18:32:50,23443,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0422t181115-o23443_v01-2022m0703t124243.nc, 2526, 441, 1.05, 1.94, 0.20, 85, 1.74, 0.25, 12,1.85,0.19
2022-04-23 16:32:23,23456,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0423t161048-o23456_v01-2022m0703t144631.nc, 2634,  13,-0.64, 0.68, 0.07, 12, 0.68, 0.15,  4,1.57,0.34
2022-04-24 17:54:57,23471,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0424t173322-o23471_v01-2022m0703t164102.nc, 2514, 337, 0.39, 1.70, 0.06, 95, 1.62, 0.17, 40,1.58,0.25
2022-04-28 16:39:08,23527,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0428t161734-o23527_v01-2022m0704t000252.nc, 2588,  26, 0.26, 3.30, 0.09,117, 3.23, 0.62, 60,2.44,0.18
2022-04-28 18:20:39,23528,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0428t175905-o23528_v01-2022m0704t000600.nc, 2483, 414, 1.16, 3.09, 0.07,116, 3.03, 0.43, 60,2.65,0.17
2022-04-29 18:01:41,23542,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0429t174008-o23542_v01-2022m0704t021900.nc, 2479, 362, 1.13, 3.09, 0.08,117, 3.06, 0.57, 60,2.41,0.19
2022-05-02 17:04:50,23584,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0502t164316-o23584_v01-2022m0704t061020.nc, 2515,  84, 0.22, 1.70, 0.09,103, 1.47, 0.29, 28,1.93,0.21
2022-05-09 16:33:36,23683,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0509t161201-o23683_v01-2022m0704t171642.nc, 2534,  12, 0.50, 2.02, 0.18,126, 1.76, 0.63, 32,1.89,0.10
2022-05-09 18:15:06,23684,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0509t175331-o23684_v01-2022m0704t171318.nc, 2416, 400, 0.72, 1.52, 0.16,125, 1.41, 0.55, 58,1.79,0.10
