|SIMB3 2024J| 1722613770 -10.755256 82.616352
|SIMB3 2024L| 1730462934 -24.503034 83.594752
|SIMB3 2024M| 1715054400 -40.141 85.912
|SIMB3 2024N| 1755892801 0.0 0.0
|SIMB3 2024O| 1721217630 -48.641392 84.99752
|SIMB3 2024P| 1738627230 -17.843678 73.378496
|SIMB3 2024Q| 1723046430 -78.373272 83.233952
|SIMB3 2024R| 1732780830 -73.707496 83.584464
