date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2
2021-04-23 17:16:13,18278,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0423t165439-o18278_v01-2021m1227t024408.nc, 2555, 135, 0.11, 1.44, 0.07,105, 1.36, 0.32, 44
2021-04-26 18:00:54,18321,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0426t173920-o18321_v01-2021m1227t070353.nc, 2497, 362, 0.54, 2.34, 0.10,119, 2.17, 0.51, 59
2021-04-27 17:41:57,18335,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0427t172023-o18335_v01-2021m1227t082351.nc, 2500, 274, 0.20, 2.17, 0.06, 94, 2.17, 0.32, 31
2021-04-28 17:23:01,18349,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0428t170126-o18349_v01-2021m1227t094858.nc, 2512, 167, 0.15, 2.63, 0.41, 83, 2.63, 0.41,  1
2021-05-10 16:58:33,18519,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0510t163659-o18519_v01-2021m1228t013759.nc, 2480,  65,-0.03, 2.23, 0.15,106, 2.18, 0.59, 24
2021-06-04 17:31:23,18874,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0604t170949-o18874_v01-2021m1229t024647.nc, 2341, 199,-0.28, 1.99, 0.24, 79, 1.99, 0.55,  5
2021-06-16 17:06:05,19044,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0616t164432-o19044_v01-2021m1229t175353.nc, 2363,  82,-0.02, 2.43, 0.16,117, 2.28, 0.59, 17
2021-06-17 16:47:04,19058,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0617t162529-o19058_v01-2021m1229t160642.nc, 2396,  35, 0.19, 2.11, 0.11,117, 1.90, 0.47, 46
2021-06-23 16:34:18,19143,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0623t161244-o19143_v01-2021m1230t011812.nc, 2423,  11, 0.03, 1.79, 0.06,106, 1.66, 0.36, 57
2021-06-25 17:37:44,19172,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0625t171609-o19172_v01-2021m1230t042115.nc, 2323, 235, 0.26, 1.14, 0.11, 72, 1.14, 0.22,  4
2021-07-10 17:56:27,19385,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0710t173453-o19385_v01-2022m0610t072232.nc, 2339, 334, 0.79, 1.69, 0.31, 70, 1.69, 0.31,  1
2021-07-19 18:27:47,19513,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0719t180613-o19513_v01-2022m0610t185920.nc, 2366, 425, 1.57, 1.36, 0.07, 44, 1.36, 0.10,  2
2021-07-23 17:11:28,19569,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0723t164954-o19569_v01-2022m0610t234259.nc, 2430, 105,-0.24, 2.11, 0.03, 73, 2.11, 0.16, 34
2021-08-02 17:23:32,19711,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0802t170158-o19711_v01-2022m0611t142337.nc, 2459, 163, 0.11, 1.89, 0.18, 92, 1.34, 0.18,  7
2021-08-04 16:45:21,19739,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0804t162346-o19739_v01-2022m0611t165643.nc, 2531,  35,-0.38, 1.72, 0.08, 50, 1.72, 0.18,  6
2021-08-04 18:26:51,19740,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0804t180516-o19740_v01-2022m0611t171842.nc, 2439, 425, 0.62, 2.85, 0.08, 97, 2.81, 0.39, 25
2021-08-05 18:07:44,19754,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0805t174610-o19754_v01-2022m0611t183145.nc, 2444, 381, 0.27, 1.79, 0.21, 81, 1.79, 0.29,  2
2021-08-08 17:10:25,19796,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0808t164851-o19796_v01-2022m0611t223320.nc, 2510, 105,-0.18, 2.62, 0.08,106, 2.58, 0.47, 47
2021-08-13 17:16:23,19867,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0813t165449-o19867_v01-2022m0612t052032.nc, 2529, 132,-0.40, 2.01, 0.07, 82, 2.00, 0.24, 11
2021-08-24 17:09:06,20023,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0824t164731-o20023_v01-2022m0612t212026.nc, 2609, 105,-0.19, 1.84, 0.03, 95, 1.82, 0.21, 60
2021-08-25 16:49:58,20037,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0825t162824-o20037_v01-2022m0612t225253.nc, 2649,  48, 0.13, 1.49, 0.03, 83, 1.47, 0.13, 32
2021-08-26 16:30:51,20051,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0826t160916-o20051_v01-2022m0613t000334.nc, 2693,  11, 0.49, 1.34, 0.04, 72, 1.32, 0.10,  9
2021-08-27 17:53:13,20066,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0827t173138-o20066_v01-2022m0613t020150.nc, 2586, 334, 0.64, 1.48, 0.12, 70, 1.48, 0.12,  1
2021-09-02 17:39:57,20151,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0902t171822-o20151_v01-2022m0613t103503.nc, 2636, 271, 0.16, 1.37, 0.08, 88, 1.14, 0.22, 48
2021-09-03 17:20:48,20165,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0903t165914-o20165_v01-2022m0613t122702.nc, 2663, 163,-0.14, 2.84, 0.11,116, 2.76, 0.62, 39
2021-09-04 17:01:41,20179,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0904t164007-o20179_v01-2022m0613t140554.nc, 2698,  82,-0.20, 0.83, 0.03, 38, 0.82, 0.10, 13
2021-09-06 18:04:55,20208,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0906t174320-o20208_v01-2022m0613t162749.nc, 2655, 381, 0.30, 1.60, 0.13,122, 1.33, 0.32, 60
2021-09-07 17:45:47,20222,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0907t172412-o20222_v01-2022m0613t174708.nc, 2669, 304,-0.17, 1.58, 0.09, 92, 1.58, 0.23,  6
2021-09-08 17:26:39,20236,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0908t170504-o20236_v01-2022m0613t190202.nc, 2693, 198,-0.39, 1.41, 0.08,104, 1.21, 0.25, 60
2021-09-11 16:29:15,20278,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0911t160740-o20278_v01-2022m0613t235413.nc, 2810,  11, 0.46, 2.93, 0.06,106, 2.83, 0.31, 30
2021-09-12 17:51:35,20293,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0912t173001-o20293_v01-2022m0614t015107.nc, 2705, 334, 1.14, 2.86, 0.02, 84, 2.86, 0.15, 56
2021-09-13 17:32:28,20307,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0913t171053-o20307_v01-2022m0614t024846.nc, 2725, 234, 0.32, 2.45, 0.02, 84, 2.45, 0.17, 50
2021-09-15 16:54:11,20335,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0915t163237-o20335_v01-2022m0614t063736.nc, 2792,  63, 0.07, 2.02, 0.07,103, 1.96, 0.21, 60
2021-09-20 16:59:59,20406,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0920t163824-o20406_v01-2022m0614t141055.nc, 2822,  82,-0.35, 1.25, 0.07, 94, 1.25, 0.24, 14
2021-09-24 17:24:55,20463,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0924t170321-o20463_v01-2022m0614t202145.nc, 2820, 198,-0.12, 1.74, 0.34,116, 1.38, 0.60, 22
2021-09-25 17:05:47,20477,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0925t164413-o20477_v01-2022m0614t215649.nc, 2854, 105,-0.41, 1.04, 0.09, 75, 0.96, 0.22, 40
2021-09-26 16:46:39,20491,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0926t162505-o20491_v01-2022m0614t234358.nc, 2894,  48, 0.37, 2.14, 0.48,134, 1.46, 0.52, 10
2021-09-26 18:28:09,20492,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0926t180634-o20492_v01-2022m0614t234807.nc, 2814, 439, 0.74, 1.61, 0.14,126, 1.50, 0.46, 50
2021-09-27 16:27:31,20505,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0927t160557-o20505_v01-2022m0615t030706.nc, 2940,  11, 0.55, 2.33, 0.21,128, 2.30, 0.73, 13
2021-09-27 18:09:00,20506,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0927t174726-o20506_v01-2022m0615t022749.nc, 2822, 399, 0.83, 1.61, 0.08,117, 1.46, 0.39, 44
2021-09-29 17:30:45,20534,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0929t170910-o20534_v01-2022m0615t050004.nc, 2854, 234, 0.35, 2.11, 0.10,128, 2.01, 0.58, 52
2021-10-01 16:52:28,20562,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1001t163054-o20562_v01-2022m0615t082605.nc, 2923,  63, 0.41, 1.70, 0.18,126, 1.52, 0.59, 55
2021-10-02 16:33:20,20576,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1002t161146-o20576_v01-2022m0615t111645.nc, 2968,  25, 0.26, 1.13, 0.08,120, 0.95, 0.30, 60
