date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2
2019-01-06 17:19:03,6389,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0106t165728-o06389_v01-2021m1004t085124.nc, 2567, 204, 0.31, 0.93, 0.13, 56, 0.93, 0.19,  2
2019-01-10 17:44:35,6446,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0110t172300-o06446_v01-2021m1001t181520.nc, 2544, 339, 1.11, 1.62, 0.29,113, 1.29, 0.47, 46
2019-01-11 17:25:36,6460,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0111t170401-o06460_v01-2021m1001t184102.nc, 2551, 241, 0.71, 1.16, 0.18, 90, 1.04, 0.36, 12
2019-01-14 16:28:38,6502,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0114t160704-o06502_v01-2021m1001t212943.nc, 2611,  26, 0.58, 0.40, 0.06, 29, 0.39, 0.15,  7
2019-01-14 18:10:09,6503,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0114t174834-o06503_v01-2021m1001t212858.nc, 2530, 415, 0.57, 0.56, 0.06, 51, 0.51, 0.23, 41
2019-01-28 17:07:35,6701,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0128t164602-o06701_v01-2021m1002t130914.nc, 2508, 137, 0.20, 0.71, 0.07, 50, 0.71, 0.19,  7
2019-01-30 16:29:41,6729,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0130t160807-o06729_v01-2021m1002t153221.nc, 2550,  26, 1.06, 2.10, 0.07,108, 2.07, 0.45, 60
2019-02-02 17:14:20,6772,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0202t165246-o06772_v01-2021m1002t175311.nc, 2478, 169, 0.20, 0.52, 0.01, 60, 0.52, 0.08, 48
2019-02-03 16:55:23,6786,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0203t163350-o06786_v01-2021m1002t183908.nc, 2495,  86,-0.06, 1.01, 0.11, 70, 0.91, 0.18, 37
2019-02-04 16:36:27,6800,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0204t161453-o06800_v01-2021m1002t192126.nc, 2516,  37, 0.78, 0.68, 0.01, 40, 0.67, 0.07, 60
2019-02-04 18:17:57,6801,TROPOMI-Sentinel-5P_L2-TROPOMAER_2019m0204t175623-o06801_v01-2021m1002t194525.nc, 2445, 426, 0.94, 1.04, 0.37,109, 0.59, 0.21, 55
